endpoint	contrast	eval_len	n_current	observed_sd_paired	observed_effect	observed_dz	mde80_at_n4	mde80_at_n5	mde80_at_n10	n_for_observed_effect	n_for_0.0053_nats	n_for_0.01_nats	n_for_0.05_nats	n_for_1_nats	significance_at_current_n
degradation	hh4-hh1	4096	4	0.008089	-0.001382	-0.1709	0.016828	0.013447	0.008046	271	21	8	3	2	not-achieved
degradation	hh4-hh1	8192	4	0.006036	-0.002511	-0.4160	0.012557	0.010034	0.006004	48	13	6	3	2	not-achieved
degradation	hh4-hh1	16384	4	0.005901	-0.000706	-0.1196	0.012276	0.009810	0.005870	551	12	5	3	2	not-achieved
degradation	hh4-r1wide	4096	4	0.005046	-0.000836	-0.1656	0.010499	0.008389	0.005020	289	10	5	3	2	not-achieved
degradation	hh4-r1wide	8192	4	0.008562	0.000396	0.0463	0.017813	0.014234	0.008517	3670	23	8	3	2	not-achieved
degradation	hh4-r1wide	16384	4	0.006304	0.000487	0.0772	0.013116	0.010481	0.006271	1320	14	6	3	2	not-achieved
degradation	r1wide-hh1	4096	4	0.005844	-0.000546	-0.0935	0.012157	0.009715	0.005813	900	12	5	3	2	not-achieved
degradation	r1wide-hh1	8192	4	0.007528	-0.002907	-0.3861	0.015661	0.012514	0.007488	55	18	7	3	2	not-achieved
degradation	r1wide-hh1	16384	4	0.006055	-0.001192	-0.1969	0.012597	0.010066	0.006023	205	13	6	3	2	not-achieved
val_loss	hh4-hh1	2048	4	0.010509	-0.017326	-1.6487	0.021863	0.017470	0.010453	6	33	11	3	2	achieved
val_loss	hh4-hh1	4096	4	0.005761	-0.018708	-3.2471	0.011986	0.009578	0.005731	3	12	5	3	2	achieved
val_loss	hh4-hh1	8192	4	0.007411	-0.019837	-2.6766	0.015419	0.012321	0.007372	4	18	7	3	2	achieved
val_loss	hh4-hh1	16384	4	0.006395	-0.018032	-2.8198	0.013304	0.010631	0.006361	4	14	6	3	2	achieved
val_loss	hh4-r1wide	2048	4	0.009994	0.035710	3.5730	0.020793	0.016615	0.009942	3	30	10	3	2	achieved
val_loss	hh4-r1wide	4096	4	0.014221	0.034874	2.4524	0.029585	0.023641	0.014145	4	59	18	3	2	achieved
val_loss	hh4-r1wide	8192	4	0.017811	0.036106	2.0272	0.037055	0.029610	0.017717	5	91	27	4	2	achieved
val_loss	hh4-r1wide	16384	4	0.014935	0.036196	2.4236	0.031072	0.024829	0.014856	4	65	20	3	2	achieved
val_loss	r1wide-hh1	2048	4	0.013372	-0.053036	-3.9663	0.027819	0.022230	0.013301	3	52	17	3	2	achieved
val_loss	r1wide-hh1	4096	4	0.010467	-0.053582	-5.1191	0.021776	0.017401	0.010412	3	33	11	3	2	achieved
val_loss	r1wide-hh1	8192	4	0.013708	-0.055942	-4.0810	0.028519	0.022789	0.013636	3	55	17	3	2	achieved
val_loss	r1wide-hh1	16384	4	0.012534	-0.054228	-4.3265	0.026076	0.020837	0.012468	3	46	15	3	2	achieved
final_train_loss	hh4-hh1	2048	4	0.005735	-0.021206	-3.6975	0.011932	0.009535	0.005705	3	12	5	3	2	achieved
final_train_loss	hh4-r1wide	2048	4	0.014338	0.037758	2.6334	0.029829	0.023836	0.014262	4	60	19	3	2	achieved
final_train_loss	r1wide-hh1	2048	4	0.011301	-0.058963	-5.2176	0.023511	0.018787	0.011241	3	38	13	3	2	achieved
