n_layers	mixer	n	n_params	length	mean_acc_pp	sd_pp	per_seed_pp	claimed_pp_at_len40	abs_delta	status
1	kda+R1	3	364100	40	39.0234	1.2420	37.89|38.83|40.35	39.00	0.0234	EXACT
1	kda+R1	3	364100	64	24.2839	0.4761	24.07|24.83|23.95	NA	NA	NO_CLAIM
1	kda+R1	3	364100	128	12.4023	0.1043	12.29|12.41|12.50	NA	NA	NO_CLAIM
1	kda+R1	3	364100	256	6.6366	0.1260	6.55|6.78|6.58	NA	NA	NO_CLAIM
1	kda+R1	3	364100	512	3.7303	0.0648	3.76|3.78|3.66	NA	NA	NO_CLAIM
2	kda+R1	3	696712	40	72.7083	3.2927	68.98|73.91|75.23	72.70	0.0083	EXACT
2	kda+R1	3	696712	64	48.2666	1.9821	46.04|49.85|48.90	NA	NA	NO_CLAIM
2	kda+R1	3	696712	128	24.4954	0.9723	23.38|24.98|25.13	NA	NA	NO_CLAIM
2	kda+R1	3	696712	256	12.4776	0.5816	11.82|12.68|12.93	NA	NA	NO_CLAIM
2	kda+R1	3	696712	512	6.6538	0.0445	6.60|6.69|6.67	NA	NA	NO_CLAIM
4	kda+R1	3	1361936	40	97.6302	1.4428	98.63|95.98|98.28	97.60	0.0302	EXACT
4	kda+R1	3	1361936	64	76.3835	2.9915	79.13|73.19|76.83	NA	NA	NO_CLAIM
4	kda+R1	3	1361936	128	37.9517	1.7640	39.62|36.11|38.12	NA	NA	NO_CLAIM
4	kda+R1	3	1361936	256	19.4173	1.1051	20.45|18.25|19.56	NA	NA	NO_CLAIM
4	kda+R1	3	1361936	512	10.1329	0.5339	10.51|9.52|10.37	NA	NA	NO_CLAIM
6	kda+R1	3	2027160	40	98.9453	0.8620	98.87|99.84|98.12	99.00	0.0547	MISMATCH
6	kda+R1	3	2027160	64	80.4362	5.1636	81.79|84.79|74.73	NA	NA	NO_CLAIM
6	kda+R1	3	2027160	128	40.7471	3.1684	41.08|43.74|37.43	NA	NA	NO_CLAIM
6	kda+R1	3	2027160	256	20.7255	1.2991	20.20|22.20|19.77	NA	NA	NO_CLAIM
6	kda+R1	3	2027160	512	10.6049	0.5657	10.94|10.92|9.95	NA	NA	NO_CLAIM
#--- comparison arm: kda_hh R=1 (all_night), same task/depths ---
1	kda_hh+R1	5	364100	40	38.3125	NA	NA	NA	NA	COMPARISON_ARM
2	kda_hh+R1	5	696712	40	73.1406	NA	NA	NA	NA	COMPARISON_ARM
4	kda_hh+R1	5	1361936	40	96.6328	NA	NA	NA	NA	COMPARISON_ARM
