R	length	n	mean_acc_pp	sd_pp	min_pp	max_pp	claimed_pp	abs_delta	status
1	40	8	91.9287	4.4386	85.1953	96.9141	91.93	0.0013	EXACT
1	64	8	64.3372	5.3533	58.2520	71.5576	64.34	0.0028	EXACT
1	128	8	32.8674	2.9982	29.0649	36.4380	32.87	0.0026	EXACT
1	256	8	16.8076	1.1967	15.3320	18.0847	16.81	0.0024	EXACT
1	512	8	8.6586	0.7171	7.6324	9.3658	8.66	0.0014	EXACT
1	1024	8	4.8357	0.3490	4.4342	5.2170	4.84	0.0043	EXACT
1	2048	8	2.8451	0.1767	2.6115	3.0556	2.85	0.0049	EXACT
2	40	8	99.3701	1.2369	96.3281	100.0000	99.37	0.0001	EXACT
2	64	8	86.5295	5.4885	74.6826	92.1143	86.53	0.0005	EXACT
2	128	8	46.7529	3.9804	37.8784	50.3052	46.75	0.0029	EXACT
2	256	8	23.6702	1.7516	20.3186	25.7080	23.67	0.0002	EXACT
2	512	8	12.2349	1.0483	10.0372	13.1958	12.23	0.0049	EXACT
2	1024	8	6.4816	0.6184	5.2292	7.1259	6.48	0.0016	EXACT
2	2048	8	3.6797	0.2486	3.1578	3.9246	3.68	0.0003	EXACT
4	40	8	100.0000	0.0000	100.0000	100.0000	100.00	0.0000	EXACT
4	64	8	99.9634	0.1036	99.7070	100.0000	99.96	0.0034	EXACT
4	128	8	88.6032	9.2135	68.2617	96.0693	88.60	0.0032	EXACT
4	256	8	48.1224	6.7321	34.8267	54.9072	48.12	0.0024	EXACT
4	512	8	24.5079	3.6756	17.7826	28.6316	24.51	0.0021	EXACT
4	1024	8	12.7943	1.8987	9.6039	14.9429	12.79	0.0043	EXACT
4	2048	8	6.7799	0.9946	4.9751	7.8583	6.78	0.0001	EXACT
