task	length	n	kda_mean_pp	gdn_mean_pp	kda_minus_gdn	gdn_minus_kda	sd	ci_lo	ci_hi	dz	t	p	verdict	author_verdict	seeds
s5_words	40	8	92.0215	84.1797	7.8418	-7.8418	4.8501	3.7870	11.8966	1.6168	4.5731	2.565e-03	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	64	8	64.4073	57.3090	7.0984	-7.0984	5.7964	2.2525	11.9443	1.2246	3.4638	1.049e-02	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	128	8	33.0032	29.5425	3.4607	-3.4607	3.2311	0.7594	6.1620	1.0711	3.0294	1.913e-02	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	256	8	16.9167	14.9307	1.9859	-1.9859	1.4386	0.7833	3.1886	1.3805	3.9047	5.864e-03	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	512	8	8.7368	7.8583	0.8785	-0.8785	0.6084	0.3699	1.3871	1.4440	4.0844	4.664e-03	SIG	SIG	0,1,2,3,4,5,6,7
s5_words	POOLED_5len	8	NA	NA	4.2531	-4.2531	3.1135	1.6501	6.8560	1.3660	3.8636	6.182e-03	SIG	SIG	0,1,2,3,4,5,6,7
parity	40	8	100.0000	100.0000	0.0000	-0.0000	0.0000	0.0000	0.0000	NA	NA	1.000e+00	ns_IDENTICAL	ns	0,1,2,3,4,5,6,7
parity	64	8	100.0000	99.9878	0.0122	-0.0122	0.0345	-0.0167	0.0411	0.3536	1.0000	3.506e-01	ns	ns	0,1,2,3,4,5,6,7
parity	128	8	97.9584	98.3398	-0.3815	0.3815	2.5674	-2.5279	1.7649	-0.1486	-0.4203	6.869e-01	ns	ns	0,1,2,3,4,5,6,7
parity	256	8	81.9351	86.3121	-4.3770	4.3770	8.3008	-11.3166	2.5626	-0.5273	-1.4914	1.795e-01	ns	ns	0,1,2,3,4,5,6,7
parity	512	8	66.8610	74.2924	-7.4314	7.4314	6.0301	-12.4727	-2.3902	-1.2324	-3.4857	1.019e-02	SIG	SIG	0,1,2,3,4,5,6,7
parity	POOLED_5len	8	NA	NA	-2.4355	2.4355	3.2361	-5.1410	0.2699	-0.7526	-2.1287	7.080e-02	ns	ns	0,1,2,3,4,5,6,7
mod_arith	40	3	68.9714	70.2734	-1.3021	1.3021	0.3932	-2.2789	-0.3253	-3.3113	-5.7354	2.908e-02	SIG	SIG	0,1,2
mod_arith	64	3	65.4622	65.8773	-0.4150	0.4150	1.1660	-3.3116	2.4815	-0.3559	-0.6165	6.004e-01	ns	ns	0,1,2
mod_arith	128	3	64.8315	65.5192	-0.6877	0.6877	1.0108	-3.1986	1.8233	-0.6803	-1.1784	3.599e-01	ns	ns	0,1,2
mod_arith	256	3	62.2213	62.9903	-0.7690	0.7690	0.5308	-2.0877	0.5496	-1.4488	-2.5093	1.288e-01	ns	ns	0,1,2
mod_arith	512	3	60.9406	61.5479	-0.6073	0.6073	0.6148	-2.1346	0.9200	-0.9878	-1.7109	2.292e-01	ns	ns	0,1,2
mod_arith	POOLED_5len	3	NA	NA	-0.7562	0.7562	0.6508	-2.3730	0.8606	-1.1619	-2.0125	1.818e-01	ns	ns	0,1,2
