contrast	length	n	mean_pp	sd_pp	ci_lo	ci_hi	dz	t	p	verdict	author_verdict
R2-R1	40	8	7.4414	4.3302	3.8212	11.0616	1.7185	4.8606	1.834e-03	SIG	SIG
R2-R1	64	8	22.1924	5.6394	17.4777	26.9070	3.9352	11.1306	1.052e-05	SIG	SIG
R2-R1	128	8	13.8855	3.9800	10.5581	17.2128	3.4888	9.8679	2.335e-05	SIG	SIG
R2-R1	256	8	6.8626	1.6348	5.4959	8.2294	4.1979	11.8733	6.827e-06	SIG	SIG
R2-R1	512	8	3.5763	1.0724	2.6798	4.4728	3.3349	9.4326	3.140e-05	SIG	SIG
R2-R1	1024	8	1.6459	0.5462	1.1892	2.1025	3.0131	8.5224	6.073e-05	SIG	SIG
R2-R1	2048	8	0.8346	0.2436	0.6309	1.0382	3.4259	9.6899	2.632e-05	SIG	SIG
R4-R1	40	8	8.0713	4.4386	4.3606	11.7820	1.8184	5.1433	1.334e-03	SIG	SIG
R4-R1	64	8	35.6262	5.3663	31.1399	40.1125	6.6389	18.7777	3.018e-07	SIG	SIG
R4-R1	128	8	55.7358	9.7986	47.5439	63.9276	5.6881	16.0884	8.712e-07	SIG	SIG
R4-R1	256	8	31.3148	6.9112	25.5369	37.0928	4.5310	12.8156	4.085e-06	SIG	SIG
R4-R1	512	8	15.8493	3.7897	12.6810	19.0176	4.1822	11.8291	7.001e-06	SIG	SIG
R4-R1	1024	8	7.9586	1.9372	6.3391	9.5781	4.1083	11.6200	7.889e-06	SIG	SIG
R4-R1	2048	8	3.9348	0.9878	3.1089	4.7606	3.9834	11.2667	9.697e-06	SIG	SIG
