R	L	n	length	mean_acc_pp	sd_pp	seeds	n_params
1	1	5	40	38.3125	2.0957	0,1,2,3,4	364100
1	1	5	64	23.6426	0.9599	0,1,2,3,4	364100
1	1	5	128	12.3950	0.4512	0,1,2,3,4	364100
1	1	5	256	6.6321	0.1788	0,1,2,3,4	364100
1	1	5	512	3.7274	0.0780	0,1,2,3,4	364100
1	1	5	1024	2.2861	0.0656	0,1,2,3,4	364100
1	1	5	2048	1.5239	0.0444	0,1,2,3,4	364100
4	1	5	40	100.0000	0.0000	0,1,2,3,4	766532
4	1	5	64	99.6094	0.5655	0,1,2,3,4	766532
4	1	5	128	80.4956	10.7229	0,1,2,3,4	766532
4	1	5	256	43.4290	7.6126	0,1,2,3,4	766532
4	1	5	512	22.3187	3.7254	0,1,2,3,4	766532
4	1	5	1024	11.5210	1.9718	0,1,2,3,4	766532
4	1	5	2048	6.2283	1.0037	0,1,2,3,4	766532
1	2	5	40	73.1406	2.3160	0,1,2,3,4	696712
1	2	5	64	47.8369	1.4249	0,1,2,3,4	696712
1	2	5	128	24.6387	0.6573	0,1,2,3,4	696712
1	2	5	256	12.4976	0.4528	0,1,2,3,4	696712
1	2	5	512	6.6388	0.1123	0,1,2,3,4	696712
1	2	5	1024	3.7930	0.1070	0,1,2,3,4	696712
1	2	5	2048	2.2899	0.0482	0,1,2,3,4	696712
4	2	5	40	98.0859	4.2800	0,1,2,3,4	1501576
4	2	5	64	94.1211	13.1184	0,1,2,3,4	1501576
4	2	5	128	77.4365	22.7789	0,1,2,3,4	1501576
4	2	5	256	41.8420	13.6153	0,1,2,3,4	1501576
4	2	5	512	21.1182	6.9289	0,1,2,3,4	1501576
4	2	5	1024	10.9045	3.2669	0,1,2,3,4	1501576
4	2	5	2048	5.8844	1.7015	0,1,2,3,4	1501576
1	3	8	40	91.9287	4.4386	0,1,2,3,4,5,6,7	1029324
1	3	8	64	64.3372	5.3533	0,1,2,3,4,5,6,7	1029324
1	3	8	128	32.8674	2.9982	0,1,2,3,4,5,6,7	1029324
1	3	8	256	16.8076	1.1967	0,1,2,3,4,5,6,7	1029324
1	3	8	512	8.6586	0.7171	0,1,2,3,4,5,6,7	1029324
1	3	8	1024	4.8357	0.3490	0,1,2,3,4,5,6,7	1029324
1	3	8	2048	2.8451	0.1767	0,1,2,3,4,5,6,7	1029324
4	3	8	40	100.0000	0.0000	0,1,2,3,4,5,6,7	2236620
4	3	8	64	99.9634	0.1036	0,1,2,3,4,5,6,7	2236620
4	3	8	128	88.6032	9.2135	0,1,2,3,4,5,6,7	2236620
4	3	8	256	48.1224	6.7321	0,1,2,3,4,5,6,7	2236620
4	3	8	512	24.5079	3.6756	0,1,2,3,4,5,6,7	2236620
4	3	8	1024	12.7943	1.8987	0,1,2,3,4,5,6,7	2236620
4	3	8	2048	6.7799	0.9946	0,1,2,3,4,5,6,7	2236620
1	4	5	40	96.6328	2.6935	0,1,2,3,4	1361936
1	4	5	64	74.3164	6.2919	0,1,2,3,4	1361936
1	4	5	128	37.5586	3.1708	0,1,2,3,4	1361936
1	4	5	256	19.2004	1.4896	0,1,2,3,4	1361936
1	4	5	512	9.9707	0.8838	0,1,2,3,4	1361936
1	4	5	1024	5.3491	0.3674	0,1,2,3,4	1361936
1	4	5	2048	3.1067	0.1883	0,1,2,3,4	1361936
4	4	5	40	100.0000	0.0000	0,1,2,3,4	2971664
4	4	5	64	99.9609	0.0562	0,1,2,3,4	2971664
4	4	5	128	86.0400	8.1261	0,1,2,3,4	2971664
4	4	5	256	46.2891	5.2307	0,1,2,3,4	2971664
4	4	5	512	23.3893	2.4534	0,1,2,3,4	2971664
4	4	5	1024	12.1118	1.2537	0,1,2,3,4	2971664
4	4	5	2048	6.4183	0.6545	0,1,2,3,4	2971664
