length	n	L1_effect	L2_effect	L3_effect_n5	L4_effect	substitution_L1_minus_L4	sd	ci_lo	ci_hi	dz	t	p	verdict	author_verdict	claimed_subst	abs_delta	status	pearson_r_L1_vs_L4_effect	seeds
40	5	61.6875	24.9453	7.9141	3.3672	58.3203	3.9003	53.4775	63.1632	14.9528	33.4355	4.772e-06	SIG	SIG	58.32	0.0003	EXACT	-0.3158	0,1,2,3,4
64	5	75.9668	46.2842	35.1074	25.6445	50.3223	6.3138	42.4826	58.1619	7.9702	17.8219	5.825e-05	SIG	SIG	50.32	0.0023	EXACT	-0.0880	0,1,2,3,4
128	5	68.1006	52.7979	52.2266	48.4814	19.6191	4.0503	14.5900	24.6482	4.8439	10.8313	4.122e-04	SIG	SIG	19.62	0.0009	EXACT	0.9385	0,1,2,3,4
256	5	36.7969	29.3445	28.5681	27.0886	9.7083	2.8590	6.1583	13.2582	3.3957	7.5929	1.614e-03	SIG	SIG	NOT_IN_HANDOFF	NA	NO_CLAIM	0.9734	0,1,2,3,4
512	5	18.5913	14.4794	14.5361	13.4186	5.1727	1.9024	2.8106	7.5348	2.7191	6.0801	3.698e-03	SIG	SIG	5.17	0.0027	EXACT	0.8848	0,1,2,3,4
1024	5	9.2349	7.1115	7.0953	6.7627	2.4722	0.8198	1.4544	3.4901	3.0158	6.7436	2.520e-03	SIG	SIG	NOT_IN_HANDOFF	NA	NO_CLAIM	0.9666	0,1,2,3,4
2048	5	4.7044	3.5945	3.5416	3.3116	1.3928	0.5006	0.7713	2.0144	2.7825	6.2218	3.398e-03	SIG	SIG	1.39	0.0028	EXACT	0.9774	0,1,2,3,4
