length	n	s5_effect	s5_p	s5_verdict	parity_effect	parity_sd	parity_p	parity_verdict	interaction	ci_lo	ci_hi	dz	t	p	verdict	author_verdict	claimed_interaction	abs_delta	status
40	8	8.0713	1.334e-03	SIG	0.0000	0.0000	1.000e+00	ns_IDENTICAL	8.0713	4.3606	11.7820	1.8184	5.1433	1.334e-03	SIG	SIG	NOT_IN_HANDOFF	NA	NO_CLAIM
64	8	35.6262	3.018e-07	SIG	-0.0031	0.0086	3.506e-01	ns	35.6293	31.1411	40.1175	6.6367	18.7715	3.025e-07	SIG	SIG	35.63	0.0007	EXACT
128	8	55.7358	8.712e-07	SIG	-2.4170	4.3959	1.639e-01	ns	58.1528	48.1691	68.1364	4.8697	13.7735	2.509e-06	SIG	SIG	58.15	0.0028	EXACT
256	8	31.3148	4.085e-06	SIG	-2.6344	9.3050	4.496e-01	ns	33.9493	25.2130	42.6856	3.2488	9.1889	3.726e-05	SIG	SIG	33.95	0.0007	EXACT
512	8	15.8493	7.001e-06	SIG	-2.0992	6.8083	4.121e-01	ns	17.9485	10.8329	25.0641	2.1088	5.9646	5.618e-04	SIG	SIG	17.95	0.0015	EXACT
1024	8	7.9586	7.889e-06	SIG	-0.7893	3.7694	5.723e-01	ns	8.7479	5.2079	12.2878	2.0659	5.8434	6.349e-04	SIG	SIG	8.75	0.0021	EXACT
2048	8	3.9348	9.697e-06	SIG	-1.1539	1.6413	8.710e-02	ns	5.0886	3.7821	6.3951	3.2562	9.2099	3.671e-05	SIG	SIG	5.09	0.0014	EXACT
